Food,Measure,Grams,Calories,Protein,Fat,Sat. Fat,Fiber,Carbs,Category
Safflower seed oil,0.0625 cups,14,125,0,14,3,0,0,"Fats, Oils, Shortenings"
Salmon,0.375 cups,85,120,17,5,1,0,0,"Fish, Seafood"
Salt pork,0.25 cups,60,470,3,55,,0,0,"Meat, Poultry"
Sardines,0.375 cups,85,180,22,9,4,0,0,"Fish, Seafood"
Sauerkraut,1 cup,150,32,1,0.01,0,1.2,7,Vegetables
Scalloped with cheese potatoes,0.75 cups,100,145,6,8,7,0.4,14,Vegetables
Scallops,0.4375 cups,100,104,18,8,0,0,10,"Fish, Seafood"
Sesame seeds,0.5 cups,50,280,9,24,13,3.1,10,Seeds and Nuts
Shad,0.375 cups,85,170,20,10,0,0,0,"Fish, Seafood"
"Shoulder, braised",0.375 cups,85,285,18,23,21,0,0,"Meat, Poultry"
Shredded wheat biscuit,1 unit,28,100,3,1,0,0.7,23,"Breads, cereals, fastfood, grains"
Shrimp,0.375 cups,85,110,23,1,0,0,0,"Fish, Seafood"
"skim, instant",1.33 cups,85,290,30,0.01,0.01,0,42,Dairy products
"skim, non-instant",0.67 cups,85,290,30,0.01,0.01,1,42,Dairy products
Soybeans,1 cup,200,260,22,11,0,3.2,20,Vegetables
Spaghetti with meat sauce,1 cup,250,285,13,10,6,0.5,35,"Breads, cereals, fastfood, grains"
Spanish rice,1 cup,250,217,4,4,0,1.2,40,"Breads, cereals, fastfood, grains"
Spinach,1 cup,100,26,3,0.01,0,1,3,Vegetables
Split cooked peas,4 cups,100,115,8,0.01,0,0.4,21,Vegetables
Split-pea soup,1 cup,250,147,8,3,3,0.5,25,Soups
Sponge cake,1 unit,40,115,3,2,2,0,22,"Desserts, sweets"
Squash,1 cup,210,35,1,0.01,0,0.6,8,Vegetables
Steak,0.375 cups,85,330,20,27,25,0,0,"Meat, Poultry"
Steamed cabbage,1 cup,170,40,2,0.01,0,1.3,9,Vegetables
Steamed potatoes before peeling,0.75 cups,100,80,2,0.01,0,0.4,19,Vegetables
Strawberries,1 cup,227,242,1,0.01,0,1.3,60,Fruits
Sunflower seeds,0.5 cups,50,280,12,26,7,1.9,10,Seeds and Nuts
Sweet potatoes,0.75 cups,110,155,2,1,0,1,36,Vegetables
Swiss cheese,0.125 cups,28,105,7,8,7,0,0.01,Dairy products
Swordfish,1 unit,100,180,27,6,0,0,0,"Fish, Seafood"
Tangerines,0.75 cups,114,40,1,0.01,0,1,10,Fruits
Tea,1 cup,230,4,0,0.01,0,0,1,"Drinks, Alcohol, Beverages"
Thousand Island sauce,0.0625 cups,15,75,0.01,8,3,0,1,"Fats, Oils, Shortenings"
Tomato juice,1 cup,240,50,2,0.01,0,0.6,10,Vegetables
Tomato soup,1 cup,245,175,6,7,6,0.5,22,Soups
Tomatoes,1 cup,240,50,2,0.01,0,1,9,Vegetables
Tuna,0.375 cups,85,170,25,7,3,0,0,"Fish, Seafood"
Turkey,0.4375 cups,100,265,27,15,0,0,0,"Meat, Poultry"
Turnip greens,1 cup,145,45,4,1,0,1.8,8,Vegetables
"Turnips, steamed",1 cup,155,40,1,0.01,0,1.8,9,Vegetables
Veal,0.375 cups,85,185,23,9,8,0,0,"Meat, Poultry"
Vegetable,1 cup,250,80,4,2,2,0,14,Soups
Waffles,1 unit,75,240,8,9,1,0.1,30,"Breads, cereals, fastfood, grains"
Walnuts,0.5 cups,50,325,7,32,7,1,8,Seeds and Nuts
"Watercress stems, raw",1 cup,50,9,1,0.01,0,0.3,1,Fruits
Watermelon,1 unit,925,120,2,1,0,3.6,29,Fruits
Wheat (all purpose),1 cup,110,400,12,1,0,0.3,84,"Breads, cereals, fastfood, grains"
Wheat (whole),1 cup,120,390,13,2,0,2.8,79,"Breads, cereals, fastfood, grains"
Wheat germ,1 cup,68,245,17,7,3,2.5,34,"Breads, cereals, fastfood, grains"
Wheat meal cereal unrefined,0.75 cups,30,103,4,1,0,0.7,25,"Breads, cereals, fastfood, grains"
"Wheat, cooked",0.75 cups,200,275,12,1,0,4.4,35,"Breads, cereals, fastfood, grains"
Wheat-germ cereal toasted,1 cup,65,260,20,7,3,2.5,36,"Breads, cereals, fastfood, grains"
Whole-wheat,2 cups,454,1100,48,14,10,67.5,216,"Breads, cereals, fastfood, grains"
Wines,0.5 cups,120,164,0.01,0,0,0,9,"Drinks, Alcohol, Beverages"
Yolks,2 units,34,120,6,10,8,0,0.01,"Fats, Oils, Shortenings"
